type,event_id,bin,dev_log,dev_se,total_effect_pct,name,start,attendance
Arts & Theatre,ev_6,pre2,-0.00040406455092139134,0.09298780198430448,148.68619476654757,Lachkater - die Stand Up Comedy Show,2026-06-12 19:00:00,587
Arts & Theatre,ev_6,pre1,-0.008160703015273716,0.09333635770329886,145.77066433409573,Lachkater - die Stand Up Comedy Show,2026-06-12 19:00:00,587
Arts & Theatre,ev_6,during,-0.015050184467955344,0.10313072469326007,107.45860896843516,Lachkater - die Stand Up Comedy Show,2026-06-12 19:00:00,587
Arts & Theatre,ev_6,post1,-0.010254637878479023,0.09403193477758315,294.0574829390135,Lachkater - die Stand Up Comedy Show,2026-06-12 19:00:00,587
Arts & Theatre,ev_6,post2,-0.006218093535365246,0.0936946906947878,245.3526009380703,Lachkater - die Stand Up Comedy Show,2026-06-12 19:00:00,587
Music,ev_7,pre3,0.0008129254555918426,0.08801027307044287,-8.308565217808816,FKA twigs - Body High Tour,2026-06-12 19:45:00,1636
Music,ev_7,pre2,-0.0007373408549574259,0.08798452656554881,7.731902721404538,FKA twigs - Body High Tour,2026-06-12 19:45:00,1636
Music,ev_7,pre1,0.0023533172318699496,0.0882019837591329,28.17358812661144,FKA twigs - Body High Tour,2026-06-12 19:45:00,1636
Music,ev_7,during,0.0025548272590262522,0.08703062295336578,11.504727240431967,FKA twigs - Body High Tour,2026-06-12 19:45:00,1636
Music,ev_7,post1,0.0008301327067613745,0.08921168413115864,454.5409146785678,FKA twigs - Body High Tour,2026-06-12 19:45:00,1636
Music,ev_7,post2,-0.0015843905620856976,0.08945741001318798,371.7162436388973,FKA twigs - Body High Tour,2026-06-12 19:45:00,1636
Music,ev_8,pre3,-0.0003448025207593048,0.08801614575281552,-8.414657532177793,Grace Ives - Girlfriend Tour,2026-06-12 20:00:00,1359
Music,ev_8,pre2,-0.004514231159809783,0.08799065421016504,7.325778568457264,Grace Ives - Girlfriend Tour,2026-06-12 20:00:00,1359
Music,ev_8,pre1,-0.0016423183531762307,0.08820804078315073,27.662474967790086,Grace Ives - Girlfriend Tour,2026-06-12 20:00:00,1359
Music,ev_8,during,-0.01828287435052511,0.08704915502983608,9.205265953671127,Grace Ives - Girlfriend Tour,2026-06-12 20:00:00,1359
Music,ev_8,post1,-0.0022353610093594958,0.0892180873736181,452.84357590914766,Grace Ives - Girlfriend Tour,2026-06-12 20:00:00,1359
Music,ev_8,post2,-0.0007918239697457795,0.08946392766667127,372.0902583708819,Grace Ives - Girlfriend Tour,2026-06-12 20:00:00,1359
Music,ev_9,pre3,-0.0010179576299592394,0.08801452793695978,-8.47628792765278,Joost Klein - World Tour,2026-06-12 20:00:00,1405
Music,ev_9,pre2,0.0006151951912781553,0.08798881562120763,7.877712587486507,Joost Klein - World Tour,2026-06-12 20:00:00,1405
Music,ev_9,pre1,-2.1711347144626165e-05,0.08820630484605513,27.86953340398877,Joost Klein - World Tour,2026-06-12 20:00:00,1405
Music,ev_9,during,-0.0029793478200799543,0.0870435181828705,10.889344945030555,Joost Klein - World Tour,2026-06-12 20:00:00,1405
Music,ev_9,post1,0.0029525089577339472,0.08921634167246875,455.71910898962386,Joost Klein - World Tour,2026-06-12 20:00:00,1405
Music,ev_9,post2,0.0016874123549966145,0.08946215511091411,373.2621337657602,Joost Klein - World Tour,2026-06-12 20:00:00,1405
Arts & Theatre,ev_10,pre3,0.019055714183740562,0.09306044724319111,134.42214685954147,Cirque du Soleil ALIZÉ,2026-06-12 20:00:00,626
Arts & Theatre,ev_10,pre2,0.017594322264281634,0.09298925235402243,153.2026677875363,Cirque du Soleil ALIZÉ,2026-06-12 20:00:00,626
Arts & Theatre,ev_10,pre1,0.017758217242475102,0.0933365022321113,152.2240456499196,Cirque du Soleil ALIZÉ,2026-06-12 20:00:00,626
Arts & Theatre,ev_10,during,0.045313085070588954,0.1031248132160988,120.3671710400918,Cirque du Soleil ALIZÉ,2026-06-12 20:00:00,626
Arts & Theatre,ev_10,post1,0.010674640625230394,0.0940301546470507,302.39173243837587,Cirque du Soleil ALIZÉ,2026-06-12 20:00:00,626
Arts & Theatre,ev_10,post2,0.013624366780678033,0.0936929313277882,252.27368480204865,Cirque du Soleil ALIZÉ,2026-06-12 20:00:00,626
Arts & Theatre,ev_11,pre3,-0.008112473851634279,0.09306113248455405,128.13905842108534,Lachkater - die Stand Up Comedy Show,2026-06-12 21:00:00,620
Arts & Theatre,ev_11,pre2,-0.007026474829051551,0.09298870132384082,147.0447339667635,Lachkater - die Stand Up Comedy Show,2026-06-12 21:00:00,620
Arts & Theatre,ev_11,pre1,-0.0051839989401045615,0.0933355430721006,146.50334081169817,Lachkater - die Stand Up Comedy Show,2026-06-12 21:00:00,620
Arts & Theatre,ev_11,during,-0.019971412362822287,0.1031307017757329,106.44016592553349,Lachkater - die Stand Up Comedy Show,2026-06-12 21:00:00,620
Arts & Theatre,ev_11,post1,-0.0009792921169667892,0.09403085630799468,297.72950565743366,Lachkater - die Stand Up Comedy Show,2026-06-12 21:00:00,620
Arts & Theatre,ev_11,post2,-0.00595383684719056,0.09369364882173743,245.4438747319708,Lachkater - die Stand Up Comedy Show,2026-06-12 21:00:00,620
Arts & Theatre,ev_12,pre3,-0.01410021420026794,0.09305877336709481,126.77710256408221,Cirque du Soleil ALIZÉ,2026-06-13 16:00:00,624
Arts & Theatre,ev_12,pre2,-0.0019719204237427317,0.0929867662698991,148.29659615263907,Cirque du Soleil ALIZÉ,2026-06-13 16:00:00,624
Arts & Theatre,ev_12,pre1,1.1404213851260435e-05,0.09333398930147918,147.78735765037516,Cirque du Soleil ALIZÉ,2026-06-13 16:00:00,624
Arts & Theatre,ev_12,during,0.015751027877849755,0.10312484139303763,113.94801335618689,Cirque du Soleil ALIZÉ,2026-06-13 16:00:00,624
Arts & Theatre,ev_12,post1,0.019101743816236805,0.09403016515127703,305.7970574507722,Cirque du Soleil ALIZÉ,2026-06-13 16:00:00,624
Arts & Theatre,ev_12,post2,0.020022807106609197,0.09369294177131794,254.53491340623376,Cirque du Soleil ALIZÉ,2026-06-13 16:00:00,624
Music,ev_13,pre3,0.0011782697725288402,0.08802490329970677,-8.275060153129532,Helene Fischer - 360° Stadion Tour 2026,2026-06-13 19:30:00,2231
Music,ev_13,pre2,-0.0007212770547587724,0.08799914242494304,7.733633319064825,Helene Fischer - 360° Stadion Tour 2026,2026-06-13 19:30:00,2231
Music,ev_13,pre1,0.00011358403684633961,0.08821671488768319,27.886834731979924,Helene Fischer - 360° Stadion Tour 2026,2026-06-13 19:30:00,2231
Music,ev_13,during,0.0023727873906910085,0.08707766220125603,11.484430782004718,Helene Fischer - 360° Stadion Tour 2026,2026-06-13 19:30:00,2231
Music,ev_13,post1,-0.00242776581574614,0.08922719171841541,452.7372163803332,Helene Fischer - 360° Stadion Tour 2026,2026-06-13 19:30:00,2231
